Date,Initialprice,Finalprice,Discount
2019-04-07,15,15,0
2019-04-08,15,15,0
2019-04-09,15,15,0
2019-04-10,15,15,0
2019-04-11,15,15,0
2019-04-12,15,15,0
2019-04-13,15,15,0
2019-04-14,15,15,0
2019-04-15,15,15,0
2019-04-16,15,15,0
2019-04-17,15,15,0
2019-04-18,15,15,0
2019-04-19,15,15,0
2019-04-20,15,15,0
2019-04-21,15,15,0
2019-04-22,15,15,0
2019-04-23,15,15,0
2019-04-24,15,15,0
2019-04-25,15,15,0
2019-04-26,15,15,0
2019-04-27,15,15,0
2019-04-28,15,15,0
2019-04-29,15,15,0
2019-04-30,15,15,0
2019-05-01,15,15,0
2019-05-02,15,15,0
2019-05-03,15,15,0
2019-05-04,15,15,0
2019-05-05,15,15,0
2019-05-06,15,15,0
2019-05-07,15,15,0
2019-05-08,15,15,0
2019-05-09,15,15,0
2019-05-10,15,15,0
2019-05-11,15,15,0
2019-05-12,15,15,0
2019-05-13,15,15,0
2019-05-14,15,15,0
2019-05-15,15,15,0
2019-05-16,15,10.5,30
2019-05-17,15,10.5,30
2019-05-18,15,10.5,30
2019-05-19,15,10.5,30
2019-05-20,15,15,0
2019-05-21,15,15,0
2019-05-22,15,15,0
2019-05-23,15,15,0
2019-05-24,15,15,0
2019-05-25,15,15,0
2019-05-26,15,15,0
2019-05-27,15,15,0
2019-05-28,15,15,0
2019-05-29,15,15,0
2019-05-30,15,15,0
2019-05-31,15,15,0
2019-06-01,15,15,0
2019-06-02,15,15,0
2019-06-03,15,15,0
2019-06-04,15,15,0
2019-06-05,15,15,0
2019-06-06,15,15,0
2019-06-07,15,15,0
2019-06-08,15,15,0
2019-06-09,15,15,0
2019-06-10,15,15,0
2019-06-11,15,15,0
2019-06-12,15,15,0
2019-06-13,15,15,0
2019-06-14,15,15,0
2019-06-15,15,15,0
2019-06-16,15,15,0
2019-06-17,15,15,0
2019-06-18,15,15,0
2019-06-19,15,15,0
2019-06-20,15,15,0
2019-06-21,15,15,0
2019-06-22,15,15,0
2019-06-23,15,15,0
2019-06-24,15,15,0
2019-06-25,15,10.5,30
2019-06-26,15,10.5,30
2019-06-27,15,10.5,30
2019-06-28,15,10.5,30
2019-06-29,15,10.5,30
2019-06-30,15,10.5,30
2019-07-01,15,10.5,30
2019-07-02,15,10.5,30
2019-07-03,15,10.5,30
2019-07-04,15,10.5,30
2019-07-05,15,10.5,30
2019-07-06,15,10.5,30
2019-07-07,15,10.5,30
2019-07-08,15,10.5,30
2019-07-09,15,15,0
2019-07-10,15,15,0
2019-07-11,15,15,0
2019-07-12,15,15,0
2019-07-13,15,15,0
2019-07-14,15,15,0
2019-07-15,15,15,0
2019-07-16,15,15,0
2019-07-17,15,15,0
2019-07-18,15,15,0
2019-07-19,15,15,0
2019-07-20,15,15,0
2019-07-21,15,15,0
2019-07-22,15,15,0
2019-07-23,15,15,0
2019-07-24,15,15,0
2019-07-25,15,15,0
2019-07-26,15,15,0
2019-07-27,15,15,0
2019-07-28,15,15,0
2019-07-29,15,15,0
2019-07-30,15,15,0
2019-07-31,15,15,0
2019-08-01,15,15,0
2019-08-02,15,15,0
2019-08-03,15,15,0
2019-08-04,15,15,0
2019-08-05,15,15,0
2019-08-06,15,15,0
2019-08-07,15,15,0
2019-08-08,15,15,0
2019-08-09,15,15,0
2019-08-10,15,15,0
2019-08-11,15,15,0
2019-08-12,15,15,0
2019-08-13,15,15,0
2019-08-14,15,15,0
2019-08-15,15,15,0
2019-08-16,15,15,0
2019-08-17,15,15,0
2019-08-18,15,15,0
2019-08-19,15,15,0
2019-08-20,15,15,0
2019-08-21,15,15,0
2019-08-22,15,15,0
2019-08-23,15,15,0
2019-08-24,15,15,0
2019-08-25,15,15,0
2019-08-26,15,15,0
2019-08-27,15,15,0
2019-08-28,15,15,0
